task,task_type,level,fold,noise_level,accuracy,f1
weather_ordinal,categorical,0.2,1,0.35,0.5291902071563088,0.5298208396105039
weather_ordinal,categorical,0.2,2,0.35,0.5254237288135594,0.5256339489371314
weather_ordinal,categorical,0.2,3,0.35,0.5423728813559322,0.5434699086928054
weather_ordinal,categorical,0.2,4,0.35,0.519774011299435,0.5200474236311243
weather_ordinal,categorical,0.2,5,0.35,0.5263157894736842,0.5268855871453704
weather_ordinal,categorical,0.8,1,0.35,0.5488721804511278,0.5526881112555826
weather_ordinal,categorical,0.8,2,0.35,0.5639097744360902,0.5651403729038375
weather_ordinal,categorical,0.8,3,0.35,0.5413533834586466,0.5408277027852283
weather_ordinal,categorical,0.8,4,0.35,0.5939849624060151,0.5969892935837209
weather_ordinal,categorical,0.8,5,0.35,0.5681818181818182,0.5669108496547285
weather_ordinal,categorical,0.0,0,0.35,0.4864457831325301,0.48722745835469045
weather_ordinal,categorical,0.2,1,0.45,0.623352165725047,0.6230324248446298
weather_ordinal,categorical,0.2,2,0.45,0.6195856873822976,0.6191657071492273
weather_ordinal,categorical,0.2,3,0.45,0.6271186440677966,0.6276373432522931
weather_ordinal,categorical,0.2,4,0.45,0.6308851224105462,0.6304313755465494
weather_ordinal,categorical,0.2,5,0.45,0.6466165413533834,0.6469112022106955
weather_ordinal,categorical,0.8,1,0.45,0.6766917293233082,0.6797405662513978
weather_ordinal,categorical,0.8,2,0.45,0.6766917293233082,0.6788027723646354
weather_ordinal,categorical,0.8,3,0.45,0.6691729323308271,0.6675059742379204
weather_ordinal,categorical,0.8,4,0.45,0.6390977443609023,0.6390489596359945
weather_ordinal,categorical,0.8,5,0.45,0.5833333333333334,0.5816984434005711
weather_ordinal,categorical,0.0,0,0.45,0.588855421686747,0.5882691590896773
weather_ordinal,categorical,0.2,1,0.55,0.7570621468926554,0.7576375906958107
weather_ordinal,categorical,0.2,2,0.55,0.7419962335216572,0.7420353384180979
weather_ordinal,categorical,0.2,3,0.55,0.7532956685499058,0.7543112392427461
weather_ordinal,categorical,0.2,4,0.55,0.7401129943502824,0.7403903008167432
weather_ordinal,categorical,0.2,5,0.55,0.7462406015037594,0.7468096699243827
weather_ordinal,categorical,0.8,1,0.55,0.7593984962406015,0.7603815477247275
weather_ordinal,categorical,0.8,2,0.55,0.7669172932330827,0.7737885543846229
weather_ordinal,categorical,0.8,3,0.55,0.7669172932330827,0.7665214337826689
weather_ordinal,categorical,0.8,4,0.55,0.8120300751879699,0.8109801649988503
weather_ordinal,categorical,0.8,5,0.55,0.7196969696969697,0.718928091422077
weather_ordinal,categorical,0.0,0,0.55,0.7364457831325302,0.7371497578460293
weather_ordinal,categorical,0.2,1,0.65,0.8813559322033898,0.8816508705535037
weather_ordinal,categorical,0.2,2,0.65,0.871939736346516,0.8721910977277939
weather_ordinal,categorical,0.2,3,0.65,0.8587570621468926,0.8589485663445962
weather_ordinal,categorical,0.2,4,0.65,0.864406779661017,0.8645247580720328
weather_ordinal,categorical,0.2,5,0.65,0.8703007518796992,0.8704530543811051
weather_ordinal,categorical,0.8,1,0.65,0.849624060150376,0.849690819724116
weather_ordinal,categorical,0.8,2,0.65,0.8721804511278195,0.8737002935145352
weather_ordinal,categorical,0.8,3,0.65,0.9022556390977443,0.9021208936319294
weather_ordinal,categorical,0.8,4,0.65,0.8872180451127819,0.8874757965146981
weather_ordinal,categorical,0.8,5,0.65,0.8484848484848485,0.8492614285429816
weather_ordinal,categorical,0.0,0,0.65,0.8644578313253012,0.86456174018857
weather_ordinal,categorical,0.2,1,0.75,0.903954802259887,0.903893370393869
weather_ordinal,categorical,0.2,2,0.75,0.9133709981167608,0.9132344989016314
weather_ordinal,categorical,0.2,3,0.75,0.9020715630885122,0.9022680845090958
weather_ordinal,categorical,0.2,4,0.75,0.9058380414312618,0.9057748335661823
weather_ordinal,categorical,0.2,5,0.75,0.8909774436090225,0.8911611045964505
weather_ordinal,categorical,0.8,1,0.75,0.924812030075188,0.9252772072734776
weather_ordinal,categorical,0.8,2,0.75,0.8947368421052632,0.8949143043945267
weather_ordinal,categorical,0.8,3,0.75,0.9022556390977443,0.9019572741377252
weather_ordinal,categorical,0.8,4,0.75,0.9022556390977443,0.9022350305471903
weather_ordinal,categorical,0.8,5,0.75,0.9393939393939394,0.9386617229376214
weather_ordinal,categorical,0.0,0,0.75,0.9051204819277109,0.9051374135973703
weather_ordinal,categorical,0.2,1,0.85,0.9585687382297552,0.9586233553977134
weather_ordinal,categorical,0.2,2,0.85,0.9623352165725048,0.9623545259799045
weather_ordinal,categorical,0.2,3,0.85,0.9548022598870056,0.9548972229745017
weather_ordinal,categorical,0.2,4,0.85,0.9510357815442562,0.9512092843863471
weather_ordinal,categorical,0.2,5,0.85,0.9605263157894737,0.9606722480269567
weather_ordinal,categorical,0.8,1,0.85,0.9624060150375939,0.962507514893152
weather_ordinal,categorical,0.8,2,0.85,0.9548872180451128,0.9554553504250756
weather_ordinal,categorical,0.8,3,0.85,0.9699248120300752,0.9699068459679665
weather_ordinal,categorical,0.8,4,0.85,0.9699248120300752,0.9699248120300752
weather_ordinal,categorical,0.8,5,0.85,0.9318181818181818,0.9315941182706329
weather_ordinal,categorical,0.0,0,0.85,0.9548192771084337,0.9549390475130707
weather_ordinal,categorical,0.2,1,0.95,0.9849340866290018,0.9849278360705855
weather_ordinal,categorical,0.2,2,0.95,0.9887005649717514,0.9887031857216755
weather_ordinal,categorical,0.2,3,0.95,0.9830508474576272,0.9830681908614586
weather_ordinal,categorical,0.2,4,0.95,0.9849340866290018,0.9849312643686616
weather_ordinal,categorical,0.2,5,0.95,0.9793233082706767,0.9793226867936258
weather_ordinal,categorical,0.8,1,0.95,0.9924812030075187,0.9924799669731619
weather_ordinal,categorical,0.8,2,0.95,0.9774436090225563,0.9776218794623305
weather_ordinal,categorical,0.8,3,0.95,0.9849624060150376,0.9849743406134384
weather_ordinal,categorical,0.8,4,0.95,0.9849624060150376,0.9849492340502475
weather_ordinal,categorical,0.8,5,0.95,1.0,1.0
weather_ordinal,categorical,0.0,0,0.95,0.9849397590361446,0.9849435012255937
